Frame Number,Timestamp,Video Time,Detection Class,Confidence,Bounding Box,Track ID,Camera/Source,Behavior Label,Incident Decision,Snapshot Filename
0,1783589372.0619786,00:00:00.000,Person,1.000,"225,221,243,273",0,videoplayback_15.mp4,,No,
0,1783589372.0619786,00:00:00.000,Person,1.000,"84,148,107,192",1,videoplayback_15.mp4,,No,
0,1783589372.0619786,00:00:00.000,Person,1.000,"482,239,501,287",2,videoplayback_15.mp4,,No,
1,1783589376.82727,00:00:00.040,Person,1.000,"225,221,243,273",0,videoplayback_15.mp4,,No,
1,1783589376.82727,00:00:00.040,Person,1.000,"84,148,107,192",1,videoplayback_15.mp4,,No,
1,1783589376.82727,00:00:00.040,Person,1.000,"482,239,501,287",2,videoplayback_15.mp4,,No,
2,1783589376.9468334,00:00:00.080,Person,1.000,"224,218,245,267",0,videoplayback_15.mp4,,No,
2,1783589376.9468334,00:00:00.080,Person,1.000,"481,239,494,289",2,videoplayback_15.mp4,,No,
2,1783589376.9468334,00:00:00.080,Person,1.000,"85,151,104,190",1,videoplayback_15.mp4,,No,
2,1783589376.9468334,00:00:00.080,Person,1.000,"21,273,34,319",3,videoplayback_15.mp4,,No,
3,1783589377.0498667,00:00:00.120,Person,1.000,"478,239,498,286",2,videoplayback_15.mp4,,No,
3,1783589377.0498667,00:00:00.120,Person,1.000,"84,151,105,192",1,videoplayback_15.mp4,,No,
3,1783589377.0498667,00:00:00.120,Person,1.000,"248,149,270,194",4,videoplayback_15.mp4,,No,
4,1783589377.147907,00:00:00.160,Person,1.000,"251,148,269,193",4,videoplayback_15.mp4,,No,
4,1783589377.147907,00:00:00.160,Person,1.000,"481,239,496,287",2,videoplayback_15.mp4,,No,
4,1783589377.147907,00:00:00.160,Person,1.000,"83,150,102,194",1,videoplayback_15.mp4,,No,
5,1783589377.2524521,00:00:00.200,Person,1.000,"389,310,403,352",5,videoplayback_15.mp4,,No,
5,1783589377.2524521,00:00:00.200,Person,1.000,"480,239,496,286",2,videoplayback_15.mp4,,No,
5,1783589377.2524521,00:00:00.200,Person,1.000,"82,152,106,195",1,videoplayback_15.mp4,,No,
6,1783589377.3529902,00:00:00.240,Person,1.000,"85,153,105,198",1,videoplayback_15.mp4,,No,
6,1783589377.3529902,00:00:00.240,Person,1.000,"476,241,497,285",2,videoplayback_15.mp4,,No,
6,1783589377.3529902,00:00:00.240,Person,1.000,"390,309,402,352",5,videoplayback_15.mp4,,No,
6,1783589377.3529902,00:00:00.240,Person,1.000,"226,209,243,256",0,videoplayback_15.mp4,,No,
7,1783589377.4575567,00:00:00.280,Person,1.000,"225,208,243,254",0,videoplayback_15.mp4,,No,
7,1783589377.4575567,00:00:00.280,Person,1.000,"383,306,406,352",5,videoplayback_15.mp4,,No,
7,1783589377.4575567,00:00:00.280,Person,1.000,"83,154,106,202",1,videoplayback_15.mp4,,No,
7,1783589377.4575567,00:00:00.280,Person,1.000,"477,239,488,284",2,videoplayback_15.mp4,,No,
8,1783589377.5790756,00:00:00.320,Person,1.000,"251,143,272,189",4,videoplayback_15.mp4,,No,
8,1783589377.5790756,00:00:00.320,Person,1.000,"384,305,403,353",5,videoplayback_15.mp4,,No,
8,1783589377.5790756,00:00:00.320,Person,1.000,"82,155,103,195",1,videoplayback_15.mp4,,No,
9,1783589377.6833084,00:00:00.360,Person,1.000,"382,302,404,352",5,videoplayback_15.mp4,,No,
9,1783589377.6833084,00:00:00.360,Person,1.000,"83,157,100,197",1,videoplayback_15.mp4,,No,
9,1783589377.6833084,00:00:00.360,Person,1.000,"472,241,494,286",2,videoplayback_15.mp4,,No,
10,1783589377.7883482,00:00:00.400,Person,1.000,"380,301,404,351",5,videoplayback_15.mp4,,No,
10,1783589377.7883482,00:00:00.400,Person,1.000,"469,240,489,284",2,videoplayback_15.mp4,,No,
11,1783589377.8935697,00:00:00.440,Person,1.000,"379,299,404,351",5,videoplayback_15.mp4,,No,
11,1783589377.8935697,00:00:00.440,Person,1.000,"468,242,488,284",2,videoplayback_15.mp4,,No,
12,1783589377.9974046,00:00:00.480,Person,1.000,"379,299,404,351",5,videoplayback_15.mp4,,No,
12,1783589377.9974046,00:00:00.480,Person,1.000,"468,242,489,284",2,videoplayback_15.mp4,,No,
13,1783589378.1044526,00:00:00.520,Person,1.000,"466,239,483,284",2,videoplayback_15.mp4,,No,
14,1783589378.2116346,00:00:00.560,Person,1.000,"618,216,634,267",6,videoplayback_15.mp4,,No,
14,1783589378.2116346,00:00:00.560,Person,1.000,"467,240,479,283",2,videoplayback_15.mp4,,No,
14,1783589378.2116346,00:00:00.560,Person,1.000,"383,294,395,351",5,videoplayback_15.mp4,,No,
15,1783589378.319677,00:00:00.600,Person,1.000,"619,216,635,268",6,videoplayback_15.mp4,,No,
15,1783589378.319677,00:00:00.600,Person,1.000,"383,293,398,353",5,videoplayback_15.mp4,,No,
15,1783589378.319677,00:00:00.600,Person,1.000,"464,242,482,284",2,videoplayback_15.mp4,,No,
16,1783589378.4297428,00:00:00.640,Person,1.000,"382,291,398,344",5,videoplayback_15.mp4,,No,
16,1783589378.4297428,00:00:00.640,Person,1.000,"457,241,483,285",2,videoplayback_15.mp4,,No,
17,1783589378.9517274,00:00:00.680,Person,1.000,"454,241,480,284",2,videoplayback_15.mp4,,No,
17,1783589378.9517274,00:00:00.680,Person,1.000,"378,287,399,332",5,videoplayback_15.mp4,,No,
18,1783589379.064287,00:00:00.720,Person,1.000,"378,284,395,336",5,videoplayback_15.mp4,,No,
19,1783589379.1693368,00:00:00.760,Person,1.000,"376,283,398,333",5,videoplayback_15.mp4,,No,
19,1783589379.1693368,00:00:00.760,Person,1.000,"612,208,632,256",6,videoplayback_15.mp4,,No,
20,1783589379.2803836,00:00:00.800,Person,1.000,"377,281,397,330",5,videoplayback_15.mp4,,No,
21,1783589379.3894305,00:00:00.840,Person,1.000,"453,241,468,284",2,videoplayback_15.mp4,,No,
22,1783589379.5023682,00:00:00.880,Person,1.000,"376,276,399,324",5,videoplayback_15.mp4,,No,
23,1783589379.6075547,00:00:00.920,Person,1.000,"376,276,399,324",5,videoplayback_15.mp4,,No,
24,1783589379.7139099,00:00:00.960,Person,1.000,"375,272,395,322",5,videoplayback_15.mp4,,No,
25,1783589379.8190706,00:00:01.000,Person,1.000,"375,271,397,321",5,videoplayback_15.mp4,,No,
26,1783589379.9251137,00:00:01.040,Person,1.000,"373,270,396,322",5,videoplayback_15.mp4,,No,
27,1783589380.03316,00:00:01.080,Person,1.000,"443,239,455,281",2,videoplayback_15.mp4,,No,
28,1783589380.1392198,00:00:01.120,Person,1.000,"440,239,455,281",2,videoplayback_15.mp4,,No,
28,1783589380.1392198,00:00:01.120,Person,1.000,"605,197,619,248",6,videoplayback_15.mp4,,No,
29,1783589380.242261,00:00:01.160,Person,1.000,"441,238,453,282",2,videoplayback_15.mp4,,No,
30,1783589380.3443046,00:00:01.200,Person,1.000,"441,238,450,281",2,videoplayback_15.mp4,,No,
31,1783589380.4498522,00:00:01.240,Person,1.000,"439,237,449,284",2,videoplayback_15.mp4,,No,
31,1783589380.4498522,00:00:01.240,Person,1.000,"385,141,398,171",7,videoplayback_15.mp4,,No,
32,1783589380.5508947,00:00:01.280,Person,1.000,"370,259,391,306",5,videoplayback_15.mp4,,No,
32,1783589380.5508947,00:00:01.280,Person,1.000,"599,193,613,238",6,videoplayback_15.mp4,,No,
33,1783589380.671903,00:00:01.320,Person,1.000,"596,190,613,238",6,videoplayback_15.mp4,,No,
33,1783589380.671903,00:00:01.320,Person,1.000,"435,241,450,284",2,videoplayback_15.mp4,,No,
34,1783589380.7729428,00:00:01.360,Person,1.000,"435,241,449,284",2,videoplayback_15.mp4,,No,
34,1783589380.7729428,00:00:01.360,Person,1.000,"595,189,609,236",6,videoplayback_15.mp4,,No,
34,1783589380.7729428,00:00:01.360,Person,1.000,"386,140,395,165",7,videoplayback_15.mp4,,No,
35,1783589380.8851962,00:00:01.400,Person,1.000,"430,243,450,285",2,videoplayback_15.mp4,,No,
35,1783589380.8851962,00:00:01.400,Person,1.000,"385,139,394,168",7,videoplayback_15.mp4,,No,
36,1783589381.3940964,00:00:01.440,Person,1.000,"430,243,450,285",2,videoplayback_15.mp4,,No,
36,1783589381.3940964,00:00:01.440,Person,1.000,"385,139,394,168",7,videoplayback_15.mp4,,No,
37,1783589381.4871302,00:00:01.480,Person,1.000,"420,242,442,290",2,videoplayback_15.mp4,,No,
37,1783589381.4871302,00:00:01.480,Person,1.000,"387,136,394,166",7,videoplayback_15.mp4,,No,
38,1783589381.5838046,00:00:01.520,Person,1.000,"388,136,399,167",7,videoplayback_15.mp4,,No,
38,1783589381.5838046,00:00:01.520,Person,1.000,"427,242,450,285",2,videoplayback_15.mp4,,No,
39,1783589381.6784918,00:00:01.560,Person,1.000,"390,136,398,168",7,videoplayback_15.mp4,,No,
40,1783589381.7735434,00:00:01.600,Person,1.000,"389,136,398,168",7,videoplayback_15.mp4,,No,
40,1783589381.7735434,00:00:01.600,Person,1.000,"421,244,439,287",2,videoplayback_15.mp4,,No,
41,1783589381.8688192,00:00:01.640,Person,1.000,"419,245,438,289",2,videoplayback_15.mp4,,No,
42,1783589381.9608624,00:00:01.680,Person,1.000,"421,246,433,291",2,videoplayback_15.mp4,,No,
43,1783589382.053385,00:00:01.720,Person,1.000,"420,246,430,289",2,videoplayback_15.mp4,,No,
43,1783589382.053385,00:00:01.720,Person,1.000,"396,18,408,46",8,videoplayback_15.mp4,,No,
44,1783589382.1589315,00:00:01.760,Person,1.000,"419,246,434,291",2,videoplayback_15.mp4,,No,
44,1783589382.1589315,00:00:01.760,Person,1.000,"395,17,407,47",8,videoplayback_15.mp4,,No,
45,1783589382.254465,00:00:01.800,Person,1.000,"416,248,436,292",2,videoplayback_15.mp4,,No,
45,1783589382.254465,00:00:01.800,Person,1.000,"394,17,408,50",8,videoplayback_15.mp4,,No,
46,1783589382.3465114,00:00:01.840,Person,1.000,"418,249,428,293",2,videoplayback_15.mp4,,No,
47,1783589382.436548,00:00:01.880,Person,1.000,"418,249,430,292",2,videoplayback_15.mp4,,No,
48,1783589382.529595,00:00:01.920,Person,1.000,"418,249,430,292",2,videoplayback_15.mp4,,No,
49,1783589382.6197252,00:00:01.960,Person,1.000,"408,248,431,292",2,videoplayback_15.mp4,,No,
49,1783589382.6197252,00:00:01.960,Person,1.000,"513,166,531,207",9,videoplayback_15.mp4,,No,
50,1783589382.71138,00:00:02.000,Person,1.000,"515,167,533,210",9,videoplayback_15.mp4,,No,
51,1783589382.8159244,00:00:02.040,Person,1.000,"407,248,423,290",2,videoplayback_15.mp4,,No,
52,1783589382.908626,00:00:02.080,Person,1.000,"406,246,420,292",2,videoplayback_15.mp4,,No,
52,1783589382.908626,00:00:02.080,Person,1.000,"582,171,597,215",6,videoplayback_15.mp4,,No,
53,1783589383.0021534,00:00:02.120,Person,1.000,"582,170,592,213",6,videoplayback_15.mp4,,No,
53,1783589383.0021534,00:00:02.120,Person,1.000,"392,125,402,152",7,videoplayback_15.mp4,,No,
53,1783589383.0021534,00:00:02.120,Person,1.000,"406,248,419,290",2,videoplayback_15.mp4,,No,
54,1783589383.0951924,00:00:02.160,Person,1.000,"579,167,593,211",6,videoplayback_15.mp4,,No,
54,1783589383.0951924,00:00:02.160,Person,1.000,"392,121,400,147",7,videoplayback_15.mp4,,No,
54,1783589383.0951924,00:00:02.160,Person,1.000,"404,248,417,290",2,videoplayback_15.mp4,,No,
55,1783589383.2033572,00:00:02.200,Person,1.000,"581,165,592,210",6,videoplayback_15.mp4,,No,
56,1783589383.2933948,00:00:02.240,Person,1.000,"581,164,592,211",6,videoplayback_15.mp4,,No,
57,1783589383.8223274,00:00:02.280,Person,1.000,"579,163,588,208",6,videoplayback_15.mp4,,No,
57,1783589383.8223274,00:00:02.280,Person,1.000,"391,118,405,147",7,videoplayback_15.mp4,,No,
57,1783589383.8223274,00:00:02.280,Person,1.000,"365,219,372,266",10,videoplayback_15.mp4,,No,
58,1783589383.9195275,00:00:02.320,Person,1.000,"580,162,590,207",6,videoplayback_15.mp4,,No,
58,1783589383.9195275,00:00:02.320,Person,1.000,"391,118,405,148",7,videoplayback_15.mp4,,No,
58,1783589383.9195275,00:00:02.320,Person,1.000,"363,218,382,265",10,videoplayback_15.mp4,,No,
59,1783589384.0175633,00:00:02.360,Person,1.000,"391,117,405,148",7,videoplayback_15.mp4,,No,
59,1783589384.0175633,00:00:02.360,Person,1.000,"579,162,590,206",6,videoplayback_15.mp4,,No,
60,1783589384.1126099,00:00:02.400,Person,1.000,"391,117,405,148",7,videoplayback_15.mp4,,No,
60,1783589384.1126099,00:00:02.400,Person,1.000,"579,162,590,206",6,videoplayback_15.mp4,,No,
61,1783589384.205135,00:00:02.440,Person,1.000,"575,160,591,203",6,videoplayback_15.mp4,,No,
61,1783589384.205135,00:00:02.440,Person,1.000,"389,117,406,148",7,videoplayback_15.mp4,,No,
61,1783589384.205135,00:00:02.440,Person,1.000,"356,214,379,258",10,videoplayback_15.mp4,,No,
66,1783589384.667337,00:00:02.640,Person,1.000,"569,155,594,197",6,videoplayback_15.mp4,,No,
67,1783589384.7703912,00:00:02.680,Person,1.000,"566,159,590,195",6,videoplayback_15.mp4,,No,
68,1783589384.8675637,00:00:02.720,Person,1.000,"398,108,407,140",7,videoplayback_15.mp4,,No,
69,1783589384.9706132,00:00:02.760,Person,1.000,"540,249,557,299",11,videoplayback_15.mp4,,No,
72,1783589385.27077,00:00:02.880,Person,1.000,"351,196,377,245",10,videoplayback_15.mp4,,No,
73,1783589385.3768117,00:00:02.920,Person,1.000,"351,195,378,244",10,videoplayback_15.mp4,,No,
74,1783589385.4838583,00:00:02.960,Person,1.000,"352,194,378,243",10,videoplayback_15.mp4,,No,
75,1783589385.5949035,00:00:03.000,Person,1.000,"352,194,377,240",10,videoplayback_15.mp4,,No,
75,1783589385.5949035,00:00:03.000,Person,1.000,"563,144,585,191",6,videoplayback_15.mp4,,No,
77,1783589386.2422483,00:00:03.080,Person,1.000,"352,191,376,239",10,videoplayback_15.mp4,,No,
78,1783589386.3542876,00:00:03.120,Person,1.000,"350,192,375,237",10,videoplayback_15.mp4,,No,
79,1783589386.4633434,00:00:03.160,Person,1.000,"350,190,374,234",10,videoplayback_15.mp4,,No,
80,1783589386.5839145,00:00:03.200,Person,1.000,"351,190,376,235",10,videoplayback_15.mp4,,No,
81,1783589386.6911669,00:00:03.240,Person,1.000,"353,188,375,229",10,videoplayback_15.mp4,,No,
